    1,     0,  -554,  -434,   979,   -50,   -21,    -9,     5,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    2,   400,  -444,  -545,   975,    88,   -20,   -12,     6,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    3,   800,  -327,  -646,   957,   225,   -18,   -14,     7,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    4,  1200,  -205,  -737,   927,   357,   -16,   -19,     8,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    5,  1600,   -82,  -816,   880,   483,   -14,   -19,     8,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    6,  2000,    37,  -883,   818,   602,   -11,   -22,     8,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    7,  2400,   156,  -934,   742,   707,   -10,   -24,     7,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    8,  2800,   271,  -971,   657,   799,    -7,   -24,     7,    -5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    9,  3200,   384,  -990,   562,   878,    -5,   -26,     5,    -5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   10,  3600,   492,  -991,   454,   944,    -3,   -25,     4,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   11,  4000,   593,  -980,   340,   996,    -1,   -27,     2,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   12,  4400,   684,  -955,   222,  1035,     2,   -27,     0,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   13,  4800,   767,  -913,   102,  1059,     4,   -26,    -2,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   14,  5200,   837,  -857,   -20,  1066,     6,   -26,    -4,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   15,  5600,   894,  -785,  -142,  1055,     7,   -26,    -6,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   16,  6000,   936,  -704,  -260,  1025,     9,   -25,    -8,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
   17,  6400,   964,  -608,  -375,   981,    10,   -24,   -11,    -6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
